,province,model,Score_train,score_test
3,Yatenga,Lasso,0.9959684707673964,-2.1455462549918605
0,Zondoma,RandomForest,0.8528859295984308,-1.356299025760161
1,Zondoma,DecisionTree,1.0,-1.5526161112538537
2,Zondoma,RidgeCV,0.8555983724214754,-1.3788391694476498
3,Zondoma,Lasso,0.9986231488028268,-1.484730169196082
0,Ganzourgou,RandomForest,0.8578464247227771,-2.5439976463521106
1,Ganzourgou,DecisionTree,1.0,-33.47747853818023
2,Ganzourgou,RidgeCV,0.9956224250388387,-78.87680247344038
3,Ganzourgou,Lasso,0.9981140806849309,-245.192052869973
0,Kourweogo,RandomForest,0.878244558088296,-2.1968235143582424
1,Kourweogo,DecisionTree,1.0,-4.913162735041127
2,Kourweogo,RidgeCV,0.7921745541349174,-5.336127720054322
3,Kourweogo,Lasso,0.9975681534277642,-29.82739119770613
0,Oubritenga,RandomForest,0.8518945692511993,0.4715256473897874
1,Oubritenga,DecisionTree,1.0,-0.6233514292061699
2,Oubritenga,RidgeCV,0.7927363744988343,-0.6829658314730782
3,Oubritenga,Lasso,0.995444085168722,-10.991469863630828
0,Oudalan,RandomForest,0.8654263097701576,-0.7524171106193573
1,Oudalan,DecisionTree,1.0,-1.5483698381563507
2,Oudalan,RidgeCV,0.8849999319791961,-0.8341683843578787
3,Oudalan,Lasso,0.99735869256263,-1.8511357896566842
0,Seno,RandomForest,0.8571567391474155,-0.10537743600696192
1,Seno,DecisionTree,1.0,-1.180517179832198
2,Seno,RidgeCV,0.8814294249907111,0.37628450018508797
3,Seno,Lasso,0.9963473712395273,0.6550661994510043
0,Soum,RandomForest,0.8553573971143679,-12.329252703586118
1,Soum,DecisionTree,1.0,-8.052923576905435
2,Soum,RidgeCV,0.8929072581060196,-10.403995733490698
3,Soum,Lasso,0.9965560618431081,-3.2950437905041046
0,Yagha,RandomForest,0.7982338306333976,-1.1277415424521249
1,Yagha,DecisionTree,1.0,-0.3924454928511516
2,Yagha,RidgeCV,0.8575287541911614,-1.2583740750982284
3,Yagha,Lasso,0.9963800844486521,-6.225349648668309
0,Bougouriba,RandomForest,0.8643804835125859,-0.17614919003078255
1,Bougouriba,DecisionTree,1.0,0.37865316730166565
2,Bougouriba,RidgeCV,0.9999813136260546,-1.5811607682576572
3,Bougouriba,Lasso,0.9985719791402137,-2.2855126678268967
0,Ioba,RandomForest,0.8065875476211338,-2.945517107047328
1,Ioba,DecisionTree,1.0,-18.938189096540434
2,Ioba,RidgeCV,0.7927645828993202,-0.9836143007435187
3,Ioba,Lasso,0.9991012258573244,-10.36338475966112
0,Noumbiel,RandomForest,0.8790534851717227,-0.4498843693981802
1,Noumbiel,DecisionTree,1.0,0.024295213266224525
2,Noumbiel,RidgeCV,0.8819095311552486,-0.588991810472242
3,Noumbiel,Lasso,0.9983538684647407,-0.33963740472811144
0,Poni,RandomForest,0.6842340002112879,-2.8744270282393867
1,Poni,DecisionTree,1.0,-23.62547327788279
2,Poni,RidgeCV,0.671080601234515,-0.34436060529139856
3,Poni,Lasso,0.9984689523693757,-1.287509363379841
