,province,model,Score_train,score_test
0,Loroum,RandomForest,0.956990656653935,0.8432741257549385
1,Loroum,DecisionTree,1.0,0.758305344699721
2,Loroum,RidgeCV,0.9623228179561942,0.7728991467671482
3,Loroum,Lasso,0.0,-0.01856609846465429
0,Passore,RandomForest,0.9334015979394835,0.09112958371077928
1,Passore,DecisionTree,1.0,0.2085377984676957
2,Passore,RidgeCV,0.9870946771570234,0.8017541210063962
3,Passore,Lasso,0.0,-0.7357896537554824
0,Yatenga,RandomForest,0.9703012028104026,0.8038185208333474
1,Yatenga,DecisionTree,1.0,0.9166666666666667
2,Yatenga,RidgeCV,0.9998216593806278,0.9133039381774251
3,Yatenga,Lasso,0.0,-0.22189349112426027
0,Zondoma,RandomForest,0.962379304083795,0.926909551368462
1,Zondoma,DecisionTree,1.0,0.37691972837685817
2,Zondoma,RidgeCV,0.9957448108424002,-0.7683553002186634
3,Zondoma,Lasso,0.0,-0.1943054080026838
0,Ganzourgou,RandomForest,0.9460879447169135,0.815653207290191
1,Ganzourgou,DecisionTree,1.0,0.10733388835331681
2,Ganzourgou,RidgeCV,0.9999471902066018,0.8488164755572902
3,Ganzourgou,Lasso,0.0,-0.14087707613277467
0,Kourweogo,RandomForest,0.9510959261715638,-0.07961791447472155
1,Kourweogo,DecisionTree,1.0,-16.265549166202458
2,Kourweogo,RidgeCV,0.999965071675692,0.7063704149245679
3,Kourweogo,Lasso,0.0,-0.7481762210081451
0,Oubritenga,RandomForest,0.9514462186357604,0.8730499444089387
1,Oubritenga,DecisionTree,1.0,0.7755550389355712
2,Oubritenga,RidgeCV,0.9999754247205689,0.055037556661093556
3,Oubritenga,Lasso,0.0,-0.1943054080026838
0,Oudalan,RandomForest,0.937754063571145,0.5905415665440958
1,Oudalan,DecisionTree,1.0,0.34513005172829936
2,Oudalan,RidgeCV,0.9998766229344306,0.9062542909374453
3,Oudalan,Lasso,0.0,-0.746153085676579
0,Seno,RandomForest,0.9307120249158685,0.6893025598725555
1,Seno,DecisionTree,1.0,0.9900085055597331
2,Seno,RidgeCV,0.9998194904429294,0.5613658673484376
3,Seno,Lasso,0.0,-0.616797347293198
0,Soum,RandomForest,0.9606856882783039,0.3174185984638478
1,Soum,DecisionTree,1.0,0.18166699398504826
2,Soum,RidgeCV,0.9487875521329523,0.21910326383404222
3,Soum,Lasso,0.0,-1.0046020282090953
0,Yagha,RandomForest,0.9431509534984134,0.945086265820204
1,Yagha,DecisionTree,1.0,-0.2279174289744934
2,Yagha,RidgeCV,0.9999861482396304,0.5134644695197058
3,Yagha,Lasso,0.0,-0.1943054080026838
0,Bougouriba,RandomForest,0.9445830256195452,0.34016988735872355
1,Bougouriba,DecisionTree,1.0,0.9145699676916128
2,Bougouriba,RidgeCV,0.999960574577155,0.8873529824105639
3,Bougouriba,Lasso,0.0,-0.9928533718267085
0,Ioba,RandomForest,0.9245391944059964,0.49339564008676506
1,Ioba,DecisionTree,1.0,0.6105905554666873
2,Ioba,RidgeCV,0.9999368277627717,0.5948417753214997
3,Ioba,Lasso,0.0,-0.746153085676579
0,Noumbiel,RandomForest,0.9613677923649468,0.6668659379645082
1,Noumbiel,DecisionTree,1.0,0.8624164703551412
2,Noumbiel,RidgeCV,0.999678454641329,0.8068056983006069
3,Noumbiel,Lasso,0.0,-0.5054801274924499
0,Poni,RandomForest,0.9283471799091783,0.8533821481049346
1,Poni,DecisionTree,1.0,0.9416619717737975
2,Poni,RidgeCV,0.9998636292158211,0.8663260141871593
3,Poni,Lasso,0.0,-0.10996439982040584
