,province,model,Score_train,score_test
1,Oudalan,DecisionTree,1.0,-1.3884234082985043
2,Oudalan,RidgeCV,0.8345711993884097,0.3490909192590629
3,Oudalan,Lasso,0.9927952155112351,-0.32659598871033313
0,Seno,RandomForest,0.813635729646099,-0.10751110362113292
1,Seno,DecisionTree,1.0,0.28551311839353677
2,Seno,RidgeCV,0.8201291924038178,-2.169463584606773
3,Seno,Lasso,0.997383827672478,-10.570426208211568
0,Soum,RandomForest,0.8017309303416581,-3.3194145694182744
1,Soum,DecisionTree,1.0,-3.5862420114245435
2,Soum,RidgeCV,0.6986477174972663,-3.608299156200143
3,Soum,Lasso,0.9782494641886476,-9.70306132901206
0,Yagha,RandomForest,0.8779362230220711,-2.25056250969689
1,Yagha,DecisionTree,1.0,-1.925757044656049
2,Yagha,RidgeCV,0.8860909617019241,-4.597880500176614
3,Yagha,Lasso,0.9955529641155887,-6.658324608157654
0,Bougouriba,RandomForest,0.8717464841332065,-0.9302845338330155
1,Bougouriba,DecisionTree,1.0,-1.8327308745259847
2,Bougouriba,RidgeCV,0.9999646594378032,-4.417261010872463
3,Bougouriba,Lasso,0.9938774033381637,-3.8298496952768835
0,Ioba,RandomForest,0.8709281617912361,-0.867770465816335
1,Ioba,DecisionTree,1.0,-2.178513433557381
2,Ioba,RidgeCV,0.8359037501217791,-1.5542907979792178
3,Ioba,Lasso,0.9912270822431949,-3.6648286293739254
0,Noumbiel,RandomForest,0.8414518006643136,-0.7065187000310416
1,Noumbiel,DecisionTree,1.0,-10.767012129278587
2,Noumbiel,RidgeCV,0.8241369520255292,-0.08053710335963049
3,Noumbiel,Lasso,0.9977312881203704,-0.6221296609640252
0,Poni,RandomForest,0.8032297805950986,-16.384002667093004
1,Poni,DecisionTree,1.0,-48.54437756833851
2,Poni,RidgeCV,0.7696967261167809,-19.37014079657112
3,Poni,Lasso,0.9963882480389727,-130.0802775728579
