province,year,driver.TSA,Driver.TNA,sahel_rainfall,QBO,NAO,gmsst,EA,AMM_sst,Driver.NTA,AMO_sst,Driver.AO,PDO,PRCPTOT,R10mm,R1mm,R20mm,R5mm,R95pTOT,R99pTOT,RX1day,RX5day,SDII,CWD,CDD,TNn,TNx,TXx,TXn,Chirts_Tmax_Temp,Chirts_Tmin_Temp,ERA5_Pressure,ERA5_wins,chirps_Prec,ERA5_soil_moisture,NDVI,Mil.rendement
Bale,2005,-0.01,0.913333333,61.66666667,-14.10666667,-0.44,0.81,-0.32,4.65,0.726666667,0.292,-0.397333333,1.353333333,525.8084279,19,50,5,38,105.2776969,45.58202877,64.92256165,45.58202877,10.51616856,6,12,22.61295482,25.56249716,34.61279477,27.18753587,31.14454934,24.07901188,101228.7215,2.395108949,767.8447417,0.362434799,0.303559337,1019
Mouhoun,2000,0.286666667,-0.076666667,-1.333333333,-1.613333333,0.54,0.626666667,-0.11,-1.9,-0.206666667,0.031,0.425333333,-0.046666667,438.3380584,18,49,1,34,0,0,43.30481339,21.02556748,8.945674661,7,6,21.96088153,25.21869634,35.34686249,27.60868059,31.24475106,23.44979513,101149.4688,2.321337254,681.8543908,0.354192269,0.150027095,618
Bale,2006,0.32,0.453333333,-22.66666667,8.943333333,0.446666667,0.666666667,-0.953333333,0.733333333,0.316666667,0.267333333,0.455,0.64,610.1854556,23,57,6,44,106.7179078,0,63.80644989,36.50557952,10.70500799,7,7,22.65605174,25.52465425,35.2185565,27.27411743,31.3069061,24.17266528,101209.2961,2.339601732,911.359224,0.375109559,0.291719384,497.9
Boulgou,2000,0.286666667,-0.076666667,-1.333333333,-1.613333333,0.54,0.626666667,-0.11,-1.9,-0.206666667,0.031,0.425333333,-0.046666667,411.4274525,12,44,4,29,74.64793491,0,62.49671555,38.14955529,9.35062392,5,10,22.6819327,25.60903688,35.26577785,28.53709146,31.45087071,23.96288981,101153.7599,2.401107619,712.5451105,0.398695578,0.141623165,603
Bale,2007,0.316666667,0.256666667,-56,-13.52333333,-0.103333333,0.903333333,0.556666667,0.103333333,0.18,0.107,0.294333333,0.05,590.1050538,21,58,8,36,134.6230138,39.15636063,55.79725647,39.15636063,10.17422507,8,8,22.70981443,25.79740647,34.92978685,27.76621981,30.98666554,23.9877309,101181.6714,2.351827664,835.9977451,0.366791324,0.323704616,961.7
Boulkiemde,2000,0.286666667,-0.076666667,-1.333333333,-1.613333333,0.54,0.626666667,-0.11,-1.9,-0.206666667,0.031,0.425333333,-0.046666667,446.8678532,18,49,4,32,62.8189207,0,54.79712296,33.01064286,9.119752105,7,9,22.71739055,25.93402549,36.64369023,28.12129184,32.19331899,24.09853237,101143.4315,2.255602982,663.740816,0.393378087,0.115178445,428
Bale,2008,0.72,0.253333333,70,10.47,-1.316666667,0.626666667,0.13,-1.033333333,0.093333333,0.144666667,-0.583333333,-1.41,685.4710914,31,50,10,38,83.0417969,51.56357587,75.08177948,51.56357587,13.70942183,7,5,22.01977282,25.28625328,35.02839413,26.84400069,30.58263404,23.40283496,101158.6617,2.300273893,880.8866887,0.388809323,0.321518175,986.9
Nayala,2000,0.286666667,-0.076666667,-1.333333333,-1.613333333,0.54,0.626666667,-0.11,-1.9,-0.206666667,0.031,0.425333333,-0.046666667,465.2925581,20,48,3,35,52.2983849,0,36.54529953,28.06246292,9.69359496,7,6,22.30462539,25.71826768,36.28906113,27.93012408,31.83745513,23.83560934,101123.5823,2.223865883,678.2822053,0.282937933,0.128357453,926.13
Bale,2009,0.633333333,-0.163333333,-18.66666667,1.733333333,0.113333333,0.826666667,0.9,-4.306666667,-0.213333333,-0.036,0.272,-0.946666667,627.662876,26,56,7,41,70.15034157,0,69.92995453,36.62197092,11.20826564,7,9,22.1977517,25.56605594,35.1206615,26.23732302,31.02764444,23.71100284,101225.2946,2.186137183,925.5391924,0.353146588,0.329937546,1129
Comoe,2000,0.286666667,-0.076666667,-1.333333333,-1.613333333,0.54,0.626666667,-0.11,-1.9,-0.206666667,0.031,0.425333333,-0.046666667,680.241066,29,54,9,46,131.5485151,50.46991902,83.72392273,50.79606421,12.59705678,9,8,21.64416801,24.03387069,32.70448516,26.62491774,29.72277725,22.72703146,101225.6315,2.06714056,1091.041886,0.374756569,0.238621309,639
Bale,2010,0.716666667,1.286666667,79.66666667,-24.96666667,-0.926666667,0.97,-1.543333333,5.193333333,1,0.431666667,-0.402333333,0.393333333,736.4399787,29,56,12,40,252.2760287,87.3337221,66.26018524,47.8810259,13.15071391,7,7,21.7034586,25.18339028,36.05871064,25.75348141,30.73752188,23.6711594,101155.6626,2.390870304,1042.837646,0.405579952,0.305577012,1282.7
Sourou,2000,0.286666667,-0.076666667,-1.333333333,-1.613333333,0.54,0.626666667,-0.11,-1.9,-0.206666667,0.031,0.425333333,-0.046666667,409.8169079,18,46,1,34,27.52427554,0,45.43834686,27.52427554,8.909063214,7,10,22.40990625,26.07124975,37.7086861,28.67624763,32.52769238,24.10393392,101098.0417,2.288927123,585.8145371,0.261551422,0.125954153,469
Bale,2011,0.33,0.443333333,-34,8.21,0.52,0.76,-0.206666667,0.996666667,0.346666667,0.127666667,0.460666667,-0.493333333,460.4888594,20,46,6,32,34.30766782,0,53.16487122,34.30766782,10.01062738,5,10,22.21673116,25.23096245,35.05274733,26.98569885,31.33819596,23.59608062,101190.4222,2.293079488,773.1773779,0.354834911,0.335993478,1073.6
Ganzourgou,2000,0.286666667,-0.076666667,-1.333333333,-1.613333333,0.54,0.626666667,-0.11,-1.9,-0.206666667,0.031,0.425333333,-0.046666667,332.4603911,12,46,2,25,0,0,48.1243515,25.70622835,7.227399806,6,10,22.84524112,26.1160354,36.73320159,28.86626761,32.32654131,24.33335682,101130.1661,2.338338056,567.4438948,0.36177554,0.104604731,579
Bale,2012,-0.11,0.076666667,41,-21.85,-0.89,0.883333333,-0.683333333,-0.533333333,0.016666667,0.168333333,-0.179666667,-0.8,716.296792,27,55,15,43,185.1790623,50.55830754,75.18655396,50.55830754,13.02357804,5,6,22.124525,24.90095326,34.43477764,26.66840987,30.72448617,23.48577013,101256.6687,2.182418277,1019.687273,0.392886634,0.309979434,1149.9
Gnagna,2000,0.286666667,-0.076666667,-1.333333333,-1.613333333,0.54,0.626666667,-0.11,-1.9,-0.206666667,0.031,0.425333333,-0.046666667,374.3527415,12,49,2,28,36.90954987,36.90954987,58.46637726,36.90954987,7.639851866,6,12,22.88971542,26.79112899,37.99382535,29.24597542,33.37925082,24.81653698,101085.3776,2.567681058,542.5337322,0.257147535,0.090485614,222
Bale,2013,0.37,0.496666667,-13.66666667,11.47,0.67,0.803333333,-1.586666667,2.066666667,0.41,0.081333333,0.455,-0.286666667,642.9496509,25,59,10,42,86.36748421,86.36748421,69.48374939,44.71674314,10.89745171,8,9,22.28293898,25.16915579,35.12945661,27.19194461,30.85655739,23.53603993,101216.1603,2.274720666,900.4531976,0.368699816,0.309647714,1366.7
