,Bale,Banwa,Kossi,Mouhoun,Nayala,Sourou,Comoe,Leraba,Boulgou,Koulpelogo,Kouritenga,Bam,Namentenga,Sanmatenga,Boulkiemde,Sanguie,Sissili,Ziro,Bazega,Nahouri,Zoundweogo,Kadiogo,Gnagna,Gourma,Komandjoari,Kompienga,Tapoa,Houet,Kenedougou,Tuy,Loroum,Passore,Yatenga,Zondoma,Ganzourgou,Kourweogo,Oubritenga,Oudalan,Seno,Soum,Yagha,Bougouriba,Ioba,Noumbiel,Poni
AMO_sst,-0.06828379140882845,0.3347840176528562,0.42755005992802514,0.2797659581896011,0.22001800381516975,0.31411993674599625,0.16479438005806188,0.24354106264714617,0.19748654568549232,0.1920780147360846,-0.2586382189109248,0.2120893076125643,0.41136460993258595,0.4735486205533981,-0.09198401238703888,-0.15908513466417287,-0.03125323563639898,-0.1732394492500162,0.3048572097629185,-0.25678385836499606,-0.2622225242761108,0.031209253592905252,0.39878754150662876,-0.12611078026735256,-0.152108796865015,-0.01653011100070239,0.062347851451156386,0.23436739128081013,-0.16425156294359688,0.02228157563904842,0.3803614137586624,0.02831911375910258,-0.10018288535874781,-0.0035912945411087686,0.11301423249236273,0.1906405044116735,0.2877883933723766,0.3464306257121579,0.01497396819695258,0.2131789647430087,0.26007911786338533,-0.04514370870374228,-0.32118008799808345,0.010296560675911559,-0.11958054183241532
Driver.AO,0.20449759870363424,-0.04652764112320467,0.04318532097999828,0.13234376968708483,0.27703584046645485,0.04735819888063793,0.02909710134784742,0.14248175324895698,-0.0051002252313652385,-0.3762799384558344,0.09418495737866778,-0.28763823767744845,-0.28317968239059654,-0.5801613568883537,-0.20594748070124708,-0.06062687687400922,-0.01736124571875381,0.03808079826432267,-0.24690382885933773,0.37063211233310583,0.11742280419583173,-0.07501717915437704,-0.6272494694905482,-0.0407982639900931,-0.40449698893730884,0.014917550056102976,-0.25060875830466706,-0.05895404124229202,0.2120586550065539,0.15559822517240093,-0.19039297509015163,-0.30861237422945276,-0.07680183802536777,-0.0219080323529299,-0.1911327011989903,-0.3079786355307319,-0.22849036085569718,-0.2794402856101576,0.3744023846136619,0.0540541012971045,-0.07266388813868728,0.2270068154664552,0.24327678217569446,0.018173865938616793,-0.14265066387277656
PDO,0.2171727841075955,0.0662342862681186,0.28470540045101095,0.263068042386621,0.15393957481784637,0.6361119524230381,0.26289847443630726,0.08636077524903729,0.26639151172838654,-0.04580273661894846,0.22048879635659555,0.0714345199047257,0.2228442287860496,-0.18500174066064215,0.24375081213113403,0.29051437031667016,-0.18154280940363032,0.16292315192093526,0.27426839752038473,0.2783543649776266,0.3385501520659225,0.2772184454394127,-0.006165158484418141,-0.06751749791603867,-0.43052097763645336,0.1048346531228394,-0.13448743025559634,0.0991542685422476,0.40086481247212785,0.4262332084319819,0.0431887875749274,0.12438380087251258,0.337507318969212,0.20071806101982423,0.06583851823557016,0.13321430685853416,0.2056764877815506,0.1383758470842659,0.27090294761545125,-0.25020722853640487,0.20713382565904911,0.5390773137592659,0.2651547343750935,0.15588974479245732,0.18909763271366486
PRCPTOT,0.5062115887378925,0.0032763244184085467,0.38016362212731547,0.18226553504933962,0.10800651572016993,0.402479597349269,0.024825462229765633,-0.19420673753759404,-0.06555822023242318,-0.38600832069469354,0.33738180449383465,0.07133800566523625,0.5158451152457112,0.5496233701674492,0.4641533780460201,0.6763043234519707,0.44187919355867994,-0.1227861875097137,0.37458969334103037,-0.299914211006007,0.06990967399985963,0.6959629406100046,0.4271640793497276,0.025267709428303836,0.19907738997143848,-0.3655335883928645,0.11969860170442095,0.2342006853151966,0.17674153021966355,0.6104324956558184,0.6134660834202504,0.42354132944114875,0.2879425924952329,0.32115816356941507,0.657021683237121,0.2834389627823824,0.4504257741577602,0.22052001902152257,0.3073225607919283,0.4684176196106879,0.4908762217131495,0.31157002409930024,0.5120868884123969,0.1958903780049899,0.27566710405082345
R10mm,0.519912383735537,0.019472926381766557,0.3963795031724032,0.02713888267931814,0.18001015420684588,0.12218595835566785,-0.1345991813655819,-0.5039822149871843,-0.05555665220566186,-0.25585995127180283,0.2874097782846797,-0.07371916601423369,0.3954411226171113,0.4729913295548716,0.6350296306909856,0.7069209758615352,0.45855003464072686,0.08111461497377641,0.510957964076215,-0.19263007753298242,0.19522091080481008,0.7422666920195224,0.5238322442559725,0.1437639037975808,0.055242622038705474,-0.15613995852370283,-0.02788456146313893,0.1366032013739169,0.031146438751218333,0.5972211880928024,0.6640875051110716,0.26070278345137915,0.2638498622857084,0.30591673302426237,0.6205019981138619,0.30287981618437065,0.5998670988384243,0.07704274208312592,-0.013674927673452934,0.28997180393433275,0.44108491083065005,0.3652000084438166,0.5489591744258152,0.11530561816197575,0.3631428775266259
R1mm,0.44548894887868,0.25505451732893686,0.38590981246551376,0.4920816132582902,0.41260521987676013,0.5532071778169798,0.1941598009955219,0.24603690378015966,0.21076015956319433,-0.41014066196010845,0.0649543050689909,0.20427836481227346,0.391764658751397,0.3022450969550967,0.33670918002177924,0.40825948466519246,0.2916523818922026,-0.20066822447223703,0.33259592696944246,0.17256420525785038,0.18981902224284183,0.5409448225827017,-0.11600145384890352,0.048452689292053805,0.121803279116264,-0.007552121482692379,0.19132435453540983,-0.008359083452326044,-0.19523928960780357,0.4005385159917393,0.42617667188254815,0.2597329182721143,0.3052473647386816,0.24472509020911448,0.39651472611047023,0.23282912188883342,0.07697974886587726,0.3745212451955422,0.29499487268434627,0.5803213790227469,0.3262272635874562,0.38780552585841316,0.34508539502518776,-0.010539475204672303,-0.038621828523111815
R20mm,0.3905671888227058,-0.030180060182008805,0.31146929238227217,0.236541535158764,-0.22142604120665774,0.2867834711542036,0.14500624948585322,-0.04621050266098475,-0.08637713343966183,-0.1449843898070524,0.10884122077071821,-0.18557435908426162,0.524145520969235,0.20071855064268626,0.32057983124708245,0.4823484909755618,0.25567124591085777,-0.2964058755517086,0.08407786216302117,-0.3109137133867753,0.06150860758170582,0.42548076635813925,0.3039004324165707,-0.13186959211564084,0.2579457021430495,-0.3138183035329912,0.026508487770866066,0.1243264542065888,0.40867780873231613,0.6055832676646021,0.2331356251183615,0.1858340452072494,0.003417199223731001,0.033351196487542666,0.6442658596870787,0.1842253505002561,0.22492087690911036,0.3231361904760928,0.3133488434925276,0.49859606696353503,0.4218796275665622,0.15852113606639384,0.39997622891047924,0.17831945964870788,-0.030622270731240426
R5mm,0.6013195639014819,0.02766575510025388,0.4451844335751542,0.2831590490495528,0.3600435646559949,0.3440954748044781,-0.23200304760920376,-0.00600694532156591,0.31108146812980764,-0.012246891139110113,0.5069460035838268,0.26022896363727244,0.547545882012968,0.3424090476386376,0.37623131495085194,0.6406726010588538,0.3296400899529775,0.20279538525903137,0.4942698245763938,-0.08303305795412277,0.1477858931485893,0.5908895470260712,0.3445329671572595,0.027167830365134506,0.05458772378080801,-0.03277388062022128,-0.11909511527615434,0.17564507604273638,-0.021615004189909068,0.7546343724006539,0.6110224631978247,0.36653224047268046,-0.02186562649236387,0.30306770220675405,0.4710885235650669,0.0745656846206748,0.2822332555083831,0.23881257443526252,0.14337528182584616,0.11414103417909202,0.36668433744437123,0.35492755186926606,0.4807461868590577,0.1499656270000643,0.1565732694097101
R95pTOT,0.13667851990919797,-0.15547453584322168,0.22964727770088977,0.2757091798452148,-0.11407955135460979,0.2952792687686034,0.1105667843403416,0.11583719918739914,-0.491772659415039,-0.17323491552200404,0.08802239050860636,-0.27512545939754884,0.1502598468853758,0.0745653065213656,0.28328158896674094,0.5116767942876466,0.30059668480093743,-0.2634085479119938,0.016108580282753256,-0.5250420686540567,-0.06826038397695078,0.5261663087334955,0.022893460524973357,-0.26589531189635146,0.12978066678658953,-0.2262633130505505,0.09628763288789786,0.16016810255842345,0.11089272945533628,0.3553659770841273,0.08053067515339438,0.140380002333643,0.15301166273702477,0.42220185281236433,0.35354553183398424,0.07725003389277621,0.2230353730817969,0.13077602636243718,0.4384971782233893,0.3292130731973664,0.15380617366504332,0.08787643025755211,0.14930319031689496,0.3453171539609041,0.028389060983914922
R99pTOT,0.3412540623055276,-0.10507577459292604,0.007774592867742605,-0.09225641700684328,-0.0995146847263534,-0.027730776444782845,-0.030445239369708266,0.06717621979856508,-0.5901873323461468,-0.1030354643856475,0.030195864699421957,-0.3435911725007924,-0.0927956082423171,-0.030423905599381143,0.16000337580138857,0.4425194874798129,0.06443123943325088,-0.14626334508057742,-0.003178192054524801,-0.5253556007661785,-0.20387237146849493,0.39031702534626095,-0.31579914769437356,-0.12969692979743633,0.1992388109125589,-0.4374429944126032,0.35126786786033937,0.09458960519040474,0.01399440420912968,0.08949413872453606,0.16447600966568135,-0.06466086764399558,-0.06870793698637483,0.02989793742371647,0.15225866429268747,0.2594306901165451,0.4080060789978873,0.07420330146302331,0.20022928914580926,0.41011550172826333,0.36569606598717364,-0.08479973546599874,0.038151047567201196,0.0920595315396862,-0.014445574338169665
