,provinces,model,Score_train,score_test
0,Passore,RandomForest,0.8375963439866501,-0.5906300005486078
1,Passore,DecisionTree,1.0,0.09686468162746575
2,Passore,RidgeCV,0.8457653474533251,-0.7019613146485739
3,Passore,Lasso,0.9922167641382977,-0.6307774034588449
0,Yatenga,RandomForest,0.8655392565219925,-2.3708483798365054
1,Yatenga,DecisionTree,1.0,0.5578026300897068
2,Yatenga,RidgeCV,0.7552411080884908,-1.5376183420384857
3,Yatenga,Lasso,0.9910600780034485,-1.7006073553789718
0,Zondoma,RandomForest,0.8443110486785944,-2.927983998493249
1,Zondoma,DecisionTree,1.0,-1.1019278321011368
2,Zondoma,RidgeCV,0.8085872231088866,-5.094575993941028
3,Zondoma,Lasso,0.9952487548623498,-13.731612250620206
0,Ganzourgou,RandomForest,0.8614421551853296,-0.13402111734047062
1,Ganzourgou,DecisionTree,1.0,0.21371436786831477
2,Ganzourgou,RidgeCV,0.7579257372138073,0.4990577962103516
3,Ganzourgou,Lasso,0.9823014872153053,0.6259241992372293
0,Kourweogo,RandomForest,0.8615895450282391,-3.5209375803160734
1,Kourweogo,DecisionTree,1.0,-0.576439589194313
2,Kourweogo,RidgeCV,0.8811082087614165,-6.946735348938071
3,Kourweogo,Lasso,0.988414143437635,-7.181645361919498
0,Oubritenga,RandomForest,0.852153028767541,-0.9526180114176852
1,Oubritenga,DecisionTree,1.0,-0.40535798040496984
2,Oubritenga,RidgeCV,0.850343348436818,0.007166244473934658
3,Oubritenga,Lasso,0.9760815179125315,-0.06289290001279557
0,Oudalan,RandomForest,0.8397681567253633,-1.0681622455100301
1,Oudalan,DecisionTree,1.0,-1.1380100150608432
2,Oudalan,RidgeCV,0.8815059558150861,-2.0248483775664905
3,Oudalan,Lasso,0.9949658406974763,-3.031953437255841
0,Seno,RandomForest,0.825379268069973,-12.805097753640604
1,Seno,DecisionTree,1.0,-8.083845387123288
2,Seno,RidgeCV,0.6662283830899542,-8.28930999183125
3,Seno,Lasso,0.9949123289626087,-15.326612486185965
0,Soum,RandomForest,0.8133278980130333,-4.263118817330738
1,Soum,DecisionTree,1.0,-10.730925822997516
2,Soum,RidgeCV,0.6813619302168035,-4.365458119698573
3,Soum,Lasso,0.9751633356861993,-4.806705261240548
0,Yagha,RandomForest,0.8394659849245886,-6.830772001866928
1,Yagha,DecisionTree,1.0,-18.96424947730325
2,Yagha,RidgeCV,0.8046815092738774,-9.1919666144728
3,Yagha,Lasso,0.9892048772302687,-33.73297144656493
0,Bougouriba,RandomForest,0.9080623731789053,-0.29367949036335905
1,Bougouriba,DecisionTree,1.0,-1.7624982621519831
2,Bougouriba,RidgeCV,0.8733427965883973,-1.564396747737983
3,Bougouriba,Lasso,0.993546284684309,-3.9470640515305746
0,Ioba,RandomForest,0.8199965441888337,-0.36450461070421447
1,Ioba,DecisionTree,1.0,-0.05708409529870706
2,Ioba,RidgeCV,0.8621554102140566,-1.1093734987252994
3,Ioba,Lasso,0.9891228380230085,-1.4088318329697564
0,Noumbiel,RandomForest,0.8960499273011332,-3.171375487202023
1,Noumbiel,DecisionTree,1.0,-4.74609046295195
2,Noumbiel,RidgeCV,0.9999531605700729,-6.1344821758737815
3,Noumbiel,Lasso,0.9966500289679913,-4.865516636734932
0,Poni,RandomForest,0.8354723703290905,-4.865293307471545
1,Poni,DecisionTree,1.0,-0.3700754862247033
2,Poni,RidgeCV,0.6594166981701997,0.0896058762272367
3,Poni,Lasso,0.995214657118558,-0.5585589332007108
